server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x100,100,good,25000,0.05,0,0.0,0.0009883980223941843,0.025252793386100883
x100,100,good,25000,0.05,0,0.0,0.001002427166924657,0.024595657936799027
x100,100,good,25000,0.05,0,0.0,0.000997063374231478,0.026751669222971376
x10,10,good,25000,0.05,0,0.0,0.00989323413331781,0.02414247560170093
x10,10,good,25000,0.05,0,0.0,0.009993299751969543,0.025281193929477246
x10,10,good,25000,0.05,0,0.0,0.010123224755555518,0.025206341588861286
x10,10,good,25000,0.05,0,0.0,0.01030182990890037,0.02616613583098224
x10,10,good,25000,0.05,0,0.0,0.010475149154637969,0.02566758789037435
x1,1,good,25000,0.05,15,0.035427154257674724,0.061916978963438604,0.004753753148940424
x1,1,good,25000,0.05,33,0.06405366102486187,0.03664702222614961,0.003363883238528733
x1,1,good,25000,0.05,33,0.0629374002693209,0.036218533793189144,0.0034604469032101315
x1,1,good,25000,0.05,58,0.0980487181159825,0.0,0.0020159541184788543
x1,1,good,25000,0.05,58,0.09684490837199312,0.0,0.0020160510832238
x1,1,good,25000,0.05,41,0.07612002965653751,0.023731020513278113,0.003437052728839334
x1,1,good,25000,0.05,24,0.04820253245348811,0.049128109045027867,0.004873437115797576
x1,1,good,25000,0.05,58,0.10003400965399954,0.0,0.002015269458030332
x1,1,good,25000,0.05,58,0.10421923860193243,0.0,0.0020156090330816804
x1,1,good,25000,0.05,57,0.10119014864610526,0.0009197892752963102,0.0021654734105933486
x1,1,good,25000,0.05,43,0.07569871488964927,0.02139772484805507,0.0034428802791061234
x1,1,good,25000,0.05,58,0.10128202909158036,0.0,0.002015942781841589
x1,1,good,25000,0.05,43,0.07782825514639619,0.020468671453687644,0.0034836189364784082
x1,1,good,25000,0.05,58,0.10208167837816139,0.0,0.0020183294337650713
x1,1,good,25000,0.05,34,0.06073044729425029,0.03470368537133315,0.0033390149509961624
x1,1,good,25000,0.05,15,0.03737781600429878,0.059689286609217816,0.004865688656101956
x1,1,good,25000,0.05,15,0.03618544707511949,0.057368618287592994,0.004892017563911278
x1,1,good,25000,0.05,58,0.10075720689850919,0.0,0.0020149999506034535
x1,1,good,25000,0.05,57,0.09840684104187693,0.0016529472914150244,0.0021747730106882407
x1,1,good,25000,0.05,34,0.06530001942758876,0.035148020744441386,0.0034871651098349367
x1,1,good,25000,0.05,23,0.04197782862148077,0.05204062793801255,0.005076303350668694
x1,1,good,25000,0.05,58,0.09605673422696744,0.0,0.0020166648809987237
x1,1,good,25000,0.05,33,0.06370851084174348,0.03534566822132203,0.0034834258287154037
x1,1,good,25000,0.05,57,0.09853569622340197,0.000991478466680393,0.002189038849320054
x1,1,good,25000,0.05,58,0.10217480050136726,0.0,0.002015890860343723
x10,10,good,25000,0.05,0,0.0,0.010116559486623397,0.023680826485708663
x10,10,good,25000,0.05,0,0.0,0.009992271435587532,0.026074872690697234
x10,10,good,25000,0.05,0,0.0,0.010133655872578431,0.02592091287411468
x10,10,good,25000,0.05,0,0.0,0.009895280831301655,0.02480330033447698
