server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x1,1,good,25000,0.05,57,0.10005076126337523,0.0016874940407129305,0.0021814611115778307
x1,1,good,25000,0.05,58,0.09891351487949183,0.0,0.002017010127305223
x1,1,good,25000,0.05,33,0.06527120057486126,0.03660742612055555,0.003421055992460082
x1,1,good,25000,0.05,58,0.09810008651386747,0.0,0.0020152130479478645
x1,1,good,25000,0.05,58,0.10324233961511343,0.0,0.0020165284454662508
x1,1,good,25000,0.05,33,0.06727117308841796,0.03661179134292735,0.0033657610314909436
x1,1,good,25000,0.05,58,0.10362232169558773,0.0,0.002015951138695485
x1,1,good,25000,0.05,58,0.09727049834429519,0.0,0.002015440291298399
x1,1,good,25000,0.05,25,0.04796380542000692,0.04921311862801821,0.004939368742992601
x1,1,good,25000,0.05,57,0.09941871500446878,0.0012109629018331332,0.0021768493040699925
x1,1,good,25000,0.05,42,0.07164367329403915,0.021462225027941265,0.0034378398448009586
x1,1,good,25000,0.05,43,0.07865710979072764,0.020539523746753805,0.003443539805225769
x1,1,good,25000,0.05,58,0.10159630967245262,0.0,0.0020157922134910605
x1,1,good,25000,0.05,58,0.10133940712768012,0.0,0.0020158237753217737
x1,1,good,25000,0.05,57,0.09919332755084104,0.0010945412824038656,0.0021920104590839175
x1,1,good,25000,0.05,34,0.0666047713406832,0.03581833627666668,0.003557644761567477
x1,1,good,25000,0.05,57,0.09958318737762063,0.0012823301229213271,0.0021975221299313464
x1,1,good,25000,0.05,58,0.10381383264175398,0.0,0.002015185378896725
x1,1,good,25000,0.05,33,0.06547305025401132,0.0385182823641024,0.0033307827448221315
x1,1,good,25000,0.05,58,0.09918116309895793,0.0,0.0020169018233017733
x1,1,good,25000,0.05,58,0.10318117521801409,0.0,0.0020158092802725885
x1,1,good,25000,0.05,57,0.10002378435099255,0.0010718650798029908,0.0021889108155748595
x1,1,good,25000,0.05,43,0.07790502264101613,0.0202050038942962,0.0035416940747901673
x1,1,good,25000,0.05,57,0.09579251402623248,0.0013377787268246926,0.0021766840876429323
x1,1,good,25000,0.05,50,0.08624344924952093,0.011558905413978615,0.0034732795348369153
x1,1,good,25000,0.05,16,0.0330719919949295,0.05965504809632068,0.004594984835069505
x1,1,good,25000,0.05,58,0.10016299198236331,0.0,0.002015754226089974
x1,1,good,25000,0.05,15,0.03648027031885829,0.06200515174589749,0.0050157383111448205
x1,1,good,25000,0.05,58,0.09737673007500779,0.0,0.0020165254684569533
x1,1,good,25000,0.05,57,0.09643285486086217,0.0018495319602480661,0.002184057332134026
x1,1,good,25000,0.05,58,0.10108119559859254,0.0,0.0020153933791606784
x1,1,good,25000,0.05,33,0.06285032602801685,0.03543856382617904,0.00341872247952766
x1,1,good,25000,0.05,58,0.10126420558812124,0.0,0.0020174190805423583
x1,1,good,25000,0.05,58,0.10288554904088693,0.0,0.002014256040425946
x1,1,good,25000,0.05,57,0.0983326176227201,0.0012236355702333033,0.002183386489338626
x1,1,good,25000,0.05,43,0.07907302048186626,0.020961622381710805,0.0035815754986637032
x1,1,good,25000,0.05,57,0.10136223114959116,0.0012223207103169652,0.0021801925570185026
x1,1,good,25000,0.05,57,0.09701399361535039,0.0009538086249426499,0.0021856558240907534
x1,1,good,25000,0.05,42,0.07523472646501339,0.02193247836724931,0.003492538846903352
x1,1,good,25000,0.05,58,0.0971820688691754,0.0,0.002015744355869998
x1,1,good,25000,0.05,57,0.10229863643909134,0.0018647996942497663,0.0021674724625880323
x1,1,good,25000,0.05,58,0.09995031510728425,0.0,0.002015747243124213
x1,1,good,25000,0.05,57,0.09740004859049207,0.0012587137601412035,0.0021747043009315067
x1,1,good,25000,0.05,58,0.09644880258572266,0.0,0.0020150208778105592
x1,1,good,25000,0.05,42,0.07622048364662333,0.02234999363930137,0.003453683038892325
x1,1,good,25000,0.05,57,0.09918147709031706,0.0011471222086784573,0.002186639161887119
x1,1,good,25000,0.05,57,0.10106030297565086,0.0010192933883804876,0.0021756581877128674
x1,1,good,25000,0.05,34,0.06539590146149171,0.036462616634575507,0.0034998575106418026
x1,1,good,25000,0.05,58,0.0982009778325189,0.0,0.002016488561875117
x1,1,good,25000,0.05,16,0.03741684865766313,0.058356541572443354,0.004714078937712824
x1,1,good,25000,0.05,16,0.039241069657557484,0.05826388735537828,0.005048928252865431
x1,1,good,25000,0.05,33,0.0606925893591003,0.03694498420225466,0.0034937605484911625
x1,1,good,25000,0.05,16,0.03959888214329444,0.062080208717434165,0.004855749056563994
x1,1,good,25000,0.05,51,0.09177850085222419,0.008685818708390015,0.003364371918132337
x1,1,good,25000,0.05,15,0.03854913254281741,0.06095555943503119,0.004874664282844322
x1,1,good,25000,0.05,16,0.034682279314208454,0.05927312436677583,0.0049146293344632915
x1,1,good,25000,0.05,58,0.1002720304183031,0.0,0.002014863825354863
x1,1,good,25000,0.05,58,0.0978081896619722,0.0,0.0020150263908263262
x1,1,good,25000,0.05,52,0.08795651334605874,0.0086602947938122,0.003469950174680001
x1,1,good,25000,0.05,58,0.0965884341803806,0.0,0.00201602190402979
x1,1,good,25000,0.05,25,0.0522017403610135,0.04863638386733281,0.004937403441393861
x1,1,good,25000,0.05,58,0.10044144525644415,0.0,0.0020141095543223762
x1,1,good,25000,0.05,34,0.061925848196095826,0.03532104191215706,0.003463970582808255
x1,1,good,25000,0.05,42,0.07768439497913193,0.023007014420810223,0.0034719646382753745
