server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x1,1,good,25000,0.05,58,0.09886775565100216,0.0,0.0020149689958170393
x5,5,good,25000,0.05,0,0.0,0.01950993256215667,0.02584274304742077
x2,2,good,25000,0.05,15,0.03723346804323183,0.03386851135891377,0.004931570358255504
x1,1,good,25000,0.05,15,0.03680475947836014,0.0654118614733796,0.004717022982901657
x100,100,good,25000,0.05,0,0.0,0.0010148600437049054,0.028316469420529615
x2,2,good,25000,0.05,15,0.03676612173984403,0.03381116519448257,0.005009343383963007
x100,100,good,25000,0.05,0,0.0,0.0009464672206501458,0.024942519607051142
x10,10,good,25000,0.05,0,0.0,0.010314130096857848,0.02601596879110149
x25,25,good,25000,0.05,0,0.0,0.004037421701705354,0.02226981751855829
x25,25,good,25000,0.05,0,0.0,0.0038917754049675145,0.027396697897487415
x10,10,good,25000,0.05,0,0.0,0.01026935765327252,0.025159679331828312
x1,1,good,25000,0.05,58,0.09807266356991903,0.0,0.002014945214837223
x2,2,good,25000,0.05,15,0.03272965333929088,0.03261414440843543,0.004782032832317016
x25,25,good,25000,0.05,0,0.0,0.00389071312474314,0.02366847821415314
x10,10,good,25000,0.05,0,0.0,0.009406457848405627,0.025127942315370938
x5,5,good,25000,0.05,0,0.0,0.019974549234506398,0.026558267550078944
x10,10,good,25000,0.05,0,0.0,0.01001696252446932,0.025703749504849056
x5,5,good,25000,0.05,0,0.0,0.02076960339280378,0.024180901006130497
x100,100,good,25000,0.05,0,0.0,0.001014502020504624,0.02483750372045243
x2,2,good,25000,0.05,15,0.03733355613950479,0.030993430215357998,0.004943295139062552
x10,10,good,25000,0.05,0,0.0,0.0100971078408703,0.023678187470971675
x10,10,good,25000,0.05,0,0.0,0.00987240255163744,0.02510103184548306
x50,50,good,25000,0.05,0,0.0,0.0020559624500976,0.026181649743345012
x100,100,good,25000,0.05,0,0.0,0.0010342726407485744,0.025485266254679874
x2,2,good,25000,0.05,15,0.03373506016609408,0.03149498106420517,0.004847681071496258
x25,25,good,25000,0.05,0,0.0,0.00409417904573197,0.022729660056042995
x5,5,good,25000,0.05,0,0.0,0.019361418548425775,0.025585139848958882
x10,10,good,25000,0.05,0,0.0,0.010015041127048818,0.025570002313932833
x2,2,good,25000,0.05,0,0.0,0.049825614191639174,0.024913028463932375
x50,50,good,25000,0.05,0,0.0,0.0020209623967722403,0.02435536975658941
x50,50,good,25000,0.05,0,0.0,0.002037999679634647,0.02626495478860468
x50,50,good,25000,0.05,0,0.0,0.002071274633193491,0.023826154340341778
x2,2,good,25000,0.05,15,0.03850294835434879,0.03236068710018531,0.004820307386511666
x5,5,good,25000,0.05,0,0.0,0.020416312829182916,0.025011028880057427
x1,1,good,25000,0.05,58,0.09889358925857795,0.0,0.0020150110431870045
x50,50,good,25000,0.05,0,0.0,0.0019125350086450833,0.02630210806386639
x50,50,good,25000,0.05,0,0.0,0.0019835009474878694,0.025997418480749282
x100,100,good,25000,0.05,0,0.0,0.0009926668364842364,0.02495289101825987
x100,100,good,25000,0.05,0,0.0,0.0010645554695716752,0.026823678167254783
x5,5,good,25000,0.05,0,0.0,0.020022056911841953,0.02447925174317469
x100,100,good,25000,0.05,0,0.0,0.0010275785479441774,0.026845214400542605
x25,25,good,25000,0.05,0,0.0,0.003990820187964354,0.024146740989518252
x50,50,good,25000,0.05,0,0.0,0.0019033359541017246,0.023882107991163103
x50,50,good,25000,0.05,0,0.0,0.0019721215039206533,0.0264847798365001
x10,10,good,25000,0.05,0,0.0,0.009759655656533806,0.024718066493499384
x1,1,good,25000,0.05,41,0.07250477529941719,0.022863048540340956,0.0034856208780253443
x100,100,good,25000,0.05,0,0.0,0.0010571192914709824,0.024480999897307586
x100,100,good,25000,0.05,0,0.0,0.0010100336104955309,0.02512043070658214
x5,5,good,25000,0.05,0,0.0,0.020086371837390198,0.024859293546860083
x100,100,good,25000,0.05,0,0.0,0.0009808038488232965,0.02347932188128289
x1,1,good,25000,0.05,58,0.09257776760915612,0.0,0.0020178503124883796
x2,2,good,25000,0.05,15,0.03513490591976136,0.03218258374316248,0.004855322038341018
x2,2,good,25000,0.05,0,0.0,0.04935501523799338,0.023188351518367886
x100,100,good,25000,0.05,0,0.0,0.0010208304645047757,0.02490572616224608
x10,10,good,25000,0.05,0,0.0,0.010667669305604968,0.02491293330053749
x25,25,good,25000,0.05,0,0.0,0.004046370367089894,0.024795621608501642
x10,10,good,25000,0.05,0,0.0,0.009748295618818782,0.025930451376473575
x50,50,good,25000,0.05,0,0.0,0.0020108860733553035,0.025539125234984028
x50,50,good,25000,0.05,0,0.0,0.002056382765066772,0.025479656556518307
x50,50,good,25000,0.05,0,0.0,0.0019487851119537292,0.02510939987663574
x50,50,good,25000,0.05,0,0.0,0.0020296469655363596,0.02593722236969679
x5,5,good,25000,0.05,0,0.0,0.01964559819042567,0.023453675247156962
x5,5,good,25000,0.05,0,0.0,0.021209539305272758,0.026548290181098215
x10,10,good,25000,0.05,0,0.0,0.01002065530191747,0.02471141898964308
x1,1,good,25000,0.05,58,0.10215953320343257,0.0,0.0020152147545413647
x50,50,good,25000,0.05,0,0.0,0.002075658172563546,0.023272498254199116
x25,25,good,25000,0.05,0,0.0,0.004039947993048769,0.02900748338596011
x2,2,good,25000,0.05,15,0.03496235364237378,0.033251758456574985,0.0046258358515512445
x100,100,good,25000,0.05,0,0.0,0.0010338885993660385,0.02811445014483372
x25,25,good,25000,0.05,0,0.0,0.004157667112446586,0.02478848489718246
x50,50,good,25000,0.05,0,0.0,0.0020865351032731427,0.02541537360884933
x5,5,good,25000,0.05,0,0.0,0.01965125847470522,0.024170387149047047
x10,10,good,25000,0.05,0,0.0,0.01012427902847601,0.023776899994574413
x1,1,good,25000,0.05,33,0.06118320507897692,0.03655294137105401,0.003411638516521172
x2,2,good,25000,0.05,15,0.03618458138977515,0.03243085244563575,0.005047019616953704
x5,5,good,25000,0.05,0,0.0,0.02080380830212233,0.024829864557450648
